AccX,AccY,GyroZ,Class,DiffAccX,DiffAccY
0.10281992,0.45909715,-0.056886826,NORMAL,1.03752302,0.89627625
-0.0144354105,-0.950908,-0.033673946,NORMAL,-0.11725533049999999,-1.41000515
0.32654715,0.32304913,-0.09659307,NORMAL,0.34098256050000003,1.2739571299999999
0.96308875,0.4298553,-0.08498663,NORMAL,0.6365416,0.10680616999999998
0.17647147,0.5752955,-0.09292787,NORMAL,-0.7866172800000001,0.14544019999999996
0.9191344,0.93255293,-0.121638544,NORMAL,0.74266293,0.35725743
2.6182406,2.4308987,-0.2224313,NORMAL,1.6991062000000001,1.4983457700000002
1.9347279,0.7842797,-0.22670737,NORMAL,-0.6835127000000001,-1.6466190000000003
1.6863043,1.2241917,-0.24930938,NORMAL,-0.24842359999999997,0.43991199999999997
2.5924811,0.79024184,-0.22976169,NORMAL,0.9061768000000001,-0.43394986
1.4067512,0.5025584,-0.14729488,NORMAL,-1.1857299000000001,-0.28768344
0.8868482,0.51803625,-0.056886826,NORMAL,-0.519903,0.015477850000000015
-1.0272081,-0.055243492,0.061010167,NORMAL,-1.9140563,-0.573279742
-1.5332457,0.928036,0.03352123,NORMAL,-0.5060376,0.983279492
-1.5276446,-0.38795257,0.08055785,NORMAL,0.0056011000000000255,-1.31598857
0.5042579,0.22524488,0.057344973,NORMAL,2.0319025,0.61319745
1.3128617,-0.6251019,0.050014593,NORMAL,0.8086038,-0.85034678
0.38992918,0.10109073,0.02985604,NORMAL,-0.92293252,0.72619263
0.08548367,-1.1993814,0.06528623,NORMAL,-0.30444551,-1.30047213
-0.41264224,1.6265585,0.04085161,NORMAL,-0.49812591,2.8259399
-0.48421,1.4568092,0.077503525,NORMAL,-0.07156775999999998,-0.1697493000000001
-1.0362381,0.08818948,0.031077769,NORMAL,-0.5520281,-1.3686197199999999
0.47458458,0.6829182,0.0622319,NORMAL,1.51082268,0.59472872
-0.2566589,-0.72001874,0.058566704,NORMAL,-0.7312434800000001,-1.40293694
-0.32550082,-0.71391904,0.074449204,NORMAL,-0.06884192,0.006099700000000041
-0.728944,-0.77842444,0.123929285,NORMAL,-0.40344318,-0.06450540000000005
-0.58216274,-0.15954599,0.09216429,NORMAL,0.14678126000000002,0.61887845
1.2212067,-0.16466856,0.097662084,NORMAL,1.80336944,-0.005122569999999993
0.15069354,0.25608444,0.05795584,NORMAL,-1.07051316,0.42075300000000004
0.24779892,0.37465924,0.08483391,NORMAL,0.09710538000000002,0.11857479999999998
-0.37758067,0.4206541,0.026801713,NORMAL,-0.62537959,0.04599485999999997
0.25124454,-1.0838859,-0.04100433,NORMAL,0.62882521,-1.50454
0.3612535,-0.3177319,-0.03733914,NORMAL,0.11000895999999999,0.766154
0.390069,1.3255444,-0.04955644,NORMAL,0.028815499999999994,1.6432763000000001
0.24759364,0.77460706,-0.04466952,NORMAL,-0.14247536,-0.55093734
-0.044749975,-0.51509464,-0.07460192,NORMAL,-0.292343615,-1.2897017000000002
0.38730168,0.006276071,-0.059941154,NORMAL,0.432051655,0.5213707110000001
1.1234715,0.5328438,-0.10086913,NORMAL,0.73616982,0.5265677289999999
0.119714975,0.83592296,-0.053221636,NORMAL,-1.003756525,0.30307916
0.05827284,-0.3320887,-0.10209085,NORMAL,-0.061442135,-1.16801166
0.6484823,-0.11160147,-0.09292787,NORMAL,0.59020946,0.22048723000000003
1.2564957,0.51979375,-0.117362484,NORMAL,0.6080134000000001,0.63139522
0.88845897,0.16919601,-0.08743009,NORMAL,-0.36803673000000015,-0.35059774000000005
0.2569821,-0.1243099,-0.10331258,NORMAL,-0.63147687,-0.29350591000000004
-1.5508068,-0.7700404,-0.099647395,NORMAL,-1.8077888999999998,-0.6457305
0.53837967,-0.070819944,-0.03428481,NORMAL,2.08918647,0.6992204559999999
-2.2353997,-2.6225307,-0.008628472,NORMAL,-2.7737793699999997,-2.551710756
0.34413934,0.25052288,-0.01779145,NORMAL,2.57953904,2.87305358
0.6799526,-1.0601444,0.00786489,NORMAL,0.33581326,-1.31066728
-0.49350238,-0.11575872,0.014584408,NORMAL,-1.17345498,0.94438568
0.18948174,-0.31755272,0.050014593,NORMAL,0.68298412,-0.20179400000000003
0.3959098,0.10250321,0.0023671028,NORMAL,0.20642805999999997,0.42005593
-0.096042156,0.48772928,-0.023289237,NORMAL,-0.49195195599999997,0.38522607
-2.1764052,-1.2252504,0.018860465,NORMAL,-2.080363044,-1.71297968
-0.46546447,0.22124556,0.059788436,NORMAL,1.71094073,1.44649596
0.7124877,0.16797096,0.08055785,NORMAL,1.17795217,-0.053274600000000005
-0.32323945,0.11686492,0.104992464,NORMAL,-1.03572715,-0.051106040000000005
-1.7656263,-0.37063468,0.065897085,NORMAL,-1.44238685,-0.4874996
0.43888128,0.1629256,0.015195273,NORMAL,2.20450758,0.53356028
0.6038188,0.08533296,0.030466905,NORMAL,0.16493752,-0.07759264
1.0584856,0.6238576,0.036575556,NORMAL,0.45466680000000004,0.53852464
-2.5702531,0.123048544,-0.00496328,NORMAL,-3.6287387,-0.500809056
-0.5883533,-0.9125505,-0.031230485,NORMAL,1.9818997999999999,-1.035599044
0.07427657,-0.023941457,0.0005345071,NORMAL,0.66262987,0.888609043
0.099351406,-0.3889095,-0.020845776,NORMAL,0.025074836000000003,-0.364968043
-0.99984616,0.22399685,-0.027565295,NORMAL,-1.099197566,0.61290635
-0.34422362,-1.0760529,-0.0019089539,NORMAL,0.65562254,-1.3000497500000001
0.621945,0.2177471,0.04757113,NORMAL,0.9661686199999999,1.2938
-0.15884256,-0.1278511,0.020082194,NORMAL,-0.7807875599999999,-0.34559819999999997
0.3085351,0.6690208,0.02069306,NORMAL,0.46737766000000003,0.7968719
0.13886309,0.06452134,0.01947133,NORMAL,-0.16967201,-0.60449946
0.2125578,0.6613016,0.018860465,NORMAL,0.07369471,0.5967802600000001
-1.1739001,0.18183313,0.0041996986,NORMAL,-1.3864579,-0.47946847000000004
0.16520143,0.08641583,0.010919216,NORMAL,1.33910153,-0.09541730000000001
-0.74853444,-0.57277286,0.056123246,NORMAL,-0.91373587,-0.65918869
-2.00992,-0.19262809,0.015806139,NORMAL,-1.2613855600000001,0.38014477
-0.25980926,0.021986157,0.04512767,NORMAL,1.7501107400000002,0.214614247
-0.7795375,-0.8605159,0.05062546,NORMAL,-0.5197282400000001,-0.882502057
0.072965264,-0.3128336,0.094607756,NORMAL,0.852502764,0.5476823
-1.0269365,-0.109438896,0.071394876,NORMAL,-1.099901764,0.20339470399999998
-1.2551696,-0.35059828,0.07322747,NORMAL,-0.2282331000000002,-0.24115938399999998
0.12499118,0.4009652,0.08055785,NORMAL,1.3801607800000002,0.75156348
0.07858431,0.1679191,0.078725256,NORMAL,-0.04640686999999999,-0.23304610000000003
-0.019195676,0.9062663,0.08239045,NORMAL,-0.097779986,0.7383472
-0.954956,0.87926555,0.018860465,NORMAL,-0.935760324,-0.027000750000000018
0.26113033,0.4742611,-0.022678372,NORMAL,1.21608633,-0.40500444999999996
